loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
25,4, Graduate, Yes,6969367,11621917,10,647,4291463,7467053,17667131,2847963, Rejected
26,3, Graduate, Yes,5649067,6824838,20,381,4610039,13352847,15941941,10159858, Rejected
27,2, Graduate, Yes,5346391,20258053,4,329,25603151,18332392,2847468,8260440, Rejected
28,4, Graduate, Yes,2183661,3761621,16,576,23381342,4744975,3891956,11010477, Approved
29,3, Graduate, Yes,8230429,19783888,20,512,10182578,15032026,11713485,3659957, Rejected
30,2, Not Graduate, No,6924762,27622249,2,649,20941803,4145860,19386296,14618214, Rejected
31,2, Graduate, No,8670839,22659126,4,748,5846081,14371531,8069275,2439340, Rejected
32,1, Not Graduate, Yes,7004424,14826870,18,668,18484807,3102295,19855717,2621661, Approved
33,0, Graduate, No,4860700,18350774,4,362,5790191,5907609,12075047,10804442, Rejected
34,3, Graduate, Yes,3063817,4632469,16,897,18547011,9123928,9279654,8302684, Approved
35,5, Graduate, No,9760920,13415431,16,728,10307708,9470617,33877518,5709080, Approved
36,0, Graduate, No,7316048,18386442,8,329,24893229,589383,14117524,10824094, Rejected
37,5, Graduate, Yes,8685735,18825162,6,757,24200155,16383755,22567576,8444241, Approved
38,4, Graduate, No,5874589,19681961,12,828,9603649,117369,15449480,5922613, Approved
39,1, Graduate, No,5151555,4813778,12,641,1097449,17075019,15628374,3177029, Approved
40,3, Graduate, No,532749,1479296,18,799,9276893,3999733,1094466,10543999, Approved
41,0, Not Graduate, Yes,872089,2680952,12,831,8105223,13784534,717679,8120493, Approved
42,4, Graduate, Yes,7055602,27588346,20,878,12279920,13803125,24257786,13145540, Approved
43,4, Not Graduate, No,2377572,3011057,6,872,16613134,8856903,1594190,6192087, Approved
44,2, Graduate, Yes,995439,1580735,6,416,28699571,10424350,3371674,3901938, Approved
45,0, Not Graduate, No,7731066,29252949,6,320,1725379,1419401,9788106,752999, Rejected
46,5, Not Graduate, No,6219142,17525618,14,691,16047559,17477158,12298053,3982777, Approved
47,2, Not Graduate, Yes,1278196,1178185,2,707,4894347,2315454,4284493,10682369, Approved
48,5, Not Graduate, Yes,5048705,5288522,18,641,15814823,12770736,12773130,4218035, Approved
49,4, Graduate, Yes,4757060,15762089,16,442,18432021,5682,10735181,8119755, Rejected
50,4, Graduate, Yes,236027,617427,20,869,23459179,14469281,348772,3158129, Approved
51,4, Graduate, No,6067066,15830974,20,544,16195935,6968475,8355673,13631895, Rejected
52,1, Not Graduate, No,4047876,14635379,2,744,5081676,9343568,2421977,13257198, Approved
53,2, Not Graduate, Yes,8719964,13703539,16,673,26487574,453648,19698369,11876864, Approved
54,2, Graduate, No,1322527,1736979,12,837,11697169,4246957,2367725,10779151, Approved
55,2, Not Graduate, No,8417004,23266105,16,727,13854311,8439422,9872334,8395452, Approved
56,0, Graduate, No,262296,950496,18,680,18563646,13922735,433481,121391, Approved
57,3, Not Graduate, Yes,7613495,12553146,12,804,7610917,11592307,25298323,632976, Approved
58,0, Not Graduate, No,7791119,23218640,2,332,28651287,5054967,23725518,6518721, Rejected
59,4, Graduate, No,4154634,5349560,18,723,1196657,11560074,7441871,11053203, Approved
60,4, Not Graduate, Yes,2921356,3944145,10,651,4395065,4326966,10049052,1912414, Approved
61,5, Not Graduate, No,1579817,5821360,10,766,28712578,10772771,2980093,8070949, Approved
62,4, Graduate, No,3497388,4118132,12,434,13053979,10483881,5411947,14031293, Approved
63,2, Graduate, Yes,6695598,5878103,20,659,25893438,4387714,11139880,12274963, Approved
64,5, Graduate, No,7231342,23717423,12,470,26252430,3886478,22589628,8110359, Rejected
65,2, Not Graduate, No,1958499,3838717,6,370,28720226,10072264,2552441,8492851, Approved
66,1, Graduate, No,308053,637456,16,645,21012954,11386752,359284,920000, Approved
67,5, Not Graduate, Yes,5644750,18963786,14,312,19783251,19008817,19088523,29803, Rejected
68,2, Not Graduate, No,5833616,8025857,2,355,17761004,9612073,15767136,4642856, Rejected
69,0, Graduate, No,9712578,27982386,12,617,19784516,8625585,27111131,11979208, Rejected
70,2, Graduate, No,7584962,13677891,16,839,7381853,9230108,20637704,87146, Approved
71,4, Not Graduate, Yes,5538004,6278208,18,729,23622055,16965138,14114833,11749325, Approved
72,1, Not Graduate, Yes,5940803,17822333,6,309,5347832,5955770,4596660,3785242, Rejected
73,2, Graduate, No,6461901,11758884,12,365,13854116,7399265,17841544,1461219, Rejected
74,0, Graduate, Yes,4581813,16371427,18,558,10789577,7156054,5712447,1408561, Rejected
75,4, Graduate, Yes,6772482,25335273,12,557,22058691,12087062,6076377,10052204, Rejected
76,2, Not Graduate, Yes,2095808,7370884,10,323,7323640,13568254,7228460,658714, Rejected
77,1, Graduate, No,8254767,15118817,4,453,5910006,9347674,4817410,7733679, Rejected
78,1, Not Graduate, Yes,8558275,13325785,2,376,23426648,5119683,5091388,13742878, Rejected
79,3, Graduate, No,4419312,16161256,14,640,14067561,13359276,6318456,8671781, Rejected
80,4, Not Graduate, No,4629735,10414266,20,694,20872469,5343147,14040163,4914916, Approved
81,5, Graduate, No,5025846,15403047,14,534,25475556,17409130,17257912,13073492, Rejected
82,2, Graduate, No,8128494,28018312,16,642,24204265,12108504,6954602,1072206, Rejected
83,0, Not Graduate, Yes,1906928,3220033,14,420,11538161,8553474,3215689,3668657, Approved
84,4, Not Graduate, No,3512770,4148973,8,810,4878495,4525292,9494685,2519643, Approved
85,3, Graduate, Yes,6162394,17251302,12,302,27836511,14693549,15015195,193450, Rejected
86,4, Graduate, No,6926106,18621633,6,602,8920108,11828467,8312227,14032104, Approved
87,0, Graduate, Yes,3068852,5108534,6,492,22283984,17121269,4565278,3065863, Approved
88,1, Graduate, No,1336621,3570196,12,570,22264847,13709627,3051671,1077551, Approved
89,4, Graduate, No,5123960,17058396,14,609,12781177,15317164,3106245,13452352, Rejected
90,4, Not Graduate, Yes,6393980,12276666,20,687,4659258,1787550,17741292,14143007, Rejected
91,2, Graduate, No,7635604,12029258,6,857,13639166,476386,10126450,3107920, Approved
92,4, Not Graduate, Yes,228806,713875,6,636,4137107,12773557,682994,5906517, Approved
93,5, Graduate, Yes,370428,1227891,4,436,10147240,3679,944964,9915305, Approved
94,2, Graduate, Yes,3949064,15218611,20,614,11047013,17284023,9620881,6281764, Rejected
95,5, Not Graduate, Yes,5669980,7213771,16,607,14982026,17129417,15887756,11608379, Approved
96,1, Graduate, No,234593,855242,8,818,5325313,11350031,170174,3655552, Approved
97,1, Not Graduate, No,1882416,6114682,20,639,24514336,14148680,2409327,11954191, Approved
98,4, Graduate, Yes,4263403,12986665,16,820,2196067,8185437,8804832,8211112, Approved
99,3, Not Graduate, No,2910018,5243187,10,689,28582176,18587761,8239625,153424, Approved
100,0, Not Graduate, No,7092279,6177498,8,643,9001738,697996,21611360,9123012, Approved
101,4, Not Graduate, No,536718,1301091,12,497,14145417,5674158,883604,138215, Approved
102,1, Graduate, Yes,8816910,15116257,2,453,25379945,13535856,25401014,12437707, Approved
103,4, Graduate, No,1843788,3185009,4,359,18938125,15286584,2140310,14538448, Approved
104,0, Graduate, Yes,4474202,16853618,20,628,1545108,4699463,3343596,2267560, Rejected
105,4, Graduate, No,9770305,12598812,6,852,17479105,15549528,12112738,7753173, Approved
106,4, Graduate, No,6627828,25116443,4,307,16373659,8939508,21271646,4949130, Rejected
107,4, Graduate, No,9885670,23846030,18,871,27039831,16632133,21077328,936439, Approved
108,3, Graduate, Yes,390743,1360760,20,815,16283413,5180408,759622,9961757, Approved
109,2, Graduate, Yes,7182524,12264017,18,562,28770733,13425341,19608319,394090, Approved
110,4, Graduate, No,934273,2642634,4,488,15347460,4027404,495425,353474, Approved
111,1, Graduate, Yes,6135011,15834971,18,648,5496811,2683175,5244878,11918337, Rejected
112,4, Graduate, Yes,3361709,12631055,6,813,14610303,13683694,2685360,4148308, Approved
113,3, Not Graduate, No,7736967,10628696,2,317,26596075,13210289,6692486,13302840, Rejected
114,2, Graduate, No,1406218,2045517,20,569,401581,5690903,2616059,8735473, Approved
115,3, Graduate, Yes,8896576,34133369,6,328,11508523,11726983,11939638,7710039, Rejected
116,3, Graduate, Yes,4863374,5415302,14,686,1280829,18266036,13895510,6015336, Approved
117,0, Not Graduate, No,5237259,14826595,2,346,24399398,6473238,15801425,5464196, Rejected
118,0, Graduate, Yes,5739768,5704211,4,489,14776124,9733892,18796695,3306901, Approved
119,1, Not Graduate, Yes,542254,567398,18,743,20739548,4047101,590073,10324641, Approved
120,0, Not Graduate, Yes,3210979,8704565,12,751,28077799,10050006,6449428,8910298, Approved
121,2, Graduate, Yes,7081139,18158713,20,436,24118997,17170938,4575077,329108, Rejected
122,4, Not Graduate, No,9520024,25072733,4,607,11772095,12335376,11611805,4755602, Rejected
123,3, Not Graduate, Yes,9750644,22579436,18,410,27104833,2753761,22867523,13214061, Rejected
124,2, Graduate, Yes,5396309,17136248,18,654,13644708,14366354,9536232,7240389, Rejected
125,5, Graduate, No,2703113,10744883,20,305,28377167,8190639,6952670,3764530, Rejected
126,3, Not Graduate, Yes,4832447,8130592,2,788,28478036,352800,14582789,3374581, Approved
127,0, Not Graduate, Yes,4695615,8616486,4,313,6349595,12082291,3186469,2806358, Rejected
128,4, Graduate, No,4053235,7432654,12,665,22572200,5803291,13439874,12658044, Approved
129,3, Graduate, No,3704361,12011244,4,543,20208718,18852850,2323412,4568647, Rejected
130,3, Not Graduate, Yes,8622820,16501056,2,434,22310196,19308530,29705668,4374784, Rejected
131,3, Graduate, Yes,3987534,11825265,18,625,4781816,13016941,9621501,936796, Rejected
132,3, Not Graduate, Yes,483808,1077363,14,385,14587801,12247739,304750,13075653, Approved
133,0, Graduate, Yes,7197579,19757173,18,647,4307593,5914637,12098313,5726537, Rejected
134,3, Not Graduate, No,6651206,22965611,20,686,26029258,1374790,8477795,10362277, Approved
135,4, Not Graduate, No,3870522,9463379,4,574,25313761,1176841,11207936,10506793, Rejected
136,1, Not Graduate, No,6310926,14644846,18,516,16812230,8996875,7423955,5146757, Rejected
137,3, Not Graduate, No,9328516,15432338,2,575,3678975,6163440,27786267,7323633, Rejected
138,0, Not Graduate, Yes,9166873,22467040,8,873,19009892,18633101,13173018,1489775, Approved
139,2, Not Graduate, No,7859686,12887678,6,751,12683185,5680059,27252918,9819291, Approved
140,2, Not Graduate, No,5858422,20501106,6,303,22817865,4164206,7681722,9905204, Rejected
141,5, Graduate, Yes,468176,957122,16,473,2790591,15890141,1196134,3142447, Approved
142,1, Not Graduate, No,5168440,6270064,4,314,11731620,16212496,14991480,2872900, Rejected
143,1, Graduate, Yes,8139924,12762555,18,442,10422159,7305740,9355851,5848989, Rejected
144,2, Not Graduate, No,8395487,21078219,18,767,27640165,1586313,6105762,10176929, Approved
145,5, Not Graduate, No,7696716,28725068,14,812,8579161,1909897,16576743,7636376, Approved
146,5, Graduate, Yes,9769103,17211174,2,574,28651010,10106209,24727916,906913, Approved
147,0, Graduate, No,5209989,8575828,12,713,26730594,16877562,15378994,8416609, Approved
148,1, Graduate, Yes,1264122,2655909,14,522,16985710,7502040,1666481,10393477, Approved
149,4, Not Graduate, No,5019128,19558609,8,586,4983199,350252,15643907,2740028, Rejected
150,0, Graduate, Yes,3291525,11535817,8,797,6361811,7274356,10688568,6535938, Approved
151,5, Graduate, Yes,8304610,10621076,10,465,400069,58382,23564836,11872736, Rejected
152,1, Not Graduate, Yes,7738243,21388585,20,491,22449648,8215338,4045480,4772883, Approved
153,5, Not Graduate, No,4320417,14404121,2,381,21011641,9210212,3290642,1326178, Rejected
154,1, Graduate, Yes,3965946,12919596,12,430,9274233,14179489,13853890,13602025, Rejected
155,2, Graduate, No,1746784,4129931,8,322,21180304,1342873,4719541,1444822, Rejected
156,3, Not Graduate, Yes,618710,1943900,12,789,16693711,9325826,1472761,903465, Approved
157,0, Not Graduate, Yes,3235118,8629603,2,811,23661431,3435776,10365596,3670600, Approved
158,3, Not Graduate, Yes,2537869,3666266,20,552,2423072,9048533,1570749,11046408, Approved
159,3, Graduate, Yes,2772463,2715271,10,656,5687412,19114520,7685637,9617827, Approved
160,4, Graduate, No,9885191,19596392,20,449,23395069,14377623,24357433,3457823, Rejected
161,5, Graduate, Yes,6806272,6794053,4,327,10656988,16380681,20722801,1133181, Rejected
162,3, Not Graduate, No,5548489,11452319,12,609,27809430,749077,15722823,14027921, Approved
163,2, Graduate, No,1935071,6680663,14,395,25530500,14822330,3782662,113566, Rejected
164,2, Graduate, No,8359110,29271440,16,808,2641846,16799792,5959254,13591114, Approved
165,2, Not Graduate, No,6454292,5867187,2,467,11644956,13013385,20835775,6941069, Approved
166,4, Not Graduate, No,5193697,5310625,14,742,21189532,15171892,14493046,2856238, Approved
167,1, Not Graduate, No,4719879,13893316,4,457,3869030,927619,7406378,5095858, Rejected
168,1, Graduate, No,5559906,13343751,10,375,24950410,14331594,19191598,4563160, Rejected
169,2, Graduate, No,8344711,10664097,2,629,2757191,16216629,11960680,2304170, Approved
170,0, Graduate, No,7185229,24269510,2,409,3086630,4476919,11580303,6349081, Rejected
171,0, Graduate, Yes,4904487,7321357,16,539,15714269,9141053,16793096,9642080, Approved
172,0, Graduate, No,6675948,7010263,16,475,7081777,8199725,16718798,6947314, Approved
173,4, Graduate, Yes,9219098,29486573,18,829,18499412,1907407,28925701,9429041, Approved
174,4, Not Graduate, No,3364541,9239040,16,601,11303453,2488259,10642926,14262092, Rejected
175,4, Not Graduate, No,8934550,18424978,12,731,7779096,5834569,18846048,1791825, Approved
176,2, Not Graduate, No,6085876,18359407,4,653,24249725,2119113,7917118,10861322, Approved
177,4, Graduate, No,1997289,7422761,16,846,4540922,9738181,6076427,3378079, Approved
178,0, Graduate, No,9579444,8711391,6,563,14258849,1083458,19213133,279677, Approved
179,5, Graduate, No,6855813,19255059,4,817,4802920,265675,15035162,5365195, Rejected
180,3, Graduate, Yes,3943567,5907997,16,838,3885632,12207411,8376546,5784674, Approved
181,5, Graduate, Yes,2281860,5287619,12,852,5870794,4896937,1206565,14553586, Approved
182,0, Graduate, Yes,9083116,19589916,4,717,7360397,7334269,5791461,5062646, Approved
183,2, Not Graduate, Yes,8186051,16764499,12,888,11890152,6516918,19230286,11298281, Approved
184,4, Graduate, No,631830,890336,14,747,13500695,9101042,1821763,13745404, Approved
185,2, Not Graduate, No,6366514,21445473,10,487,3938022,8997551,11912484,4956330, Rejected
186,2, Graduate, No,1311796,2642568,16,394,1042589,2584184,1405228,2631866, Rejected
187,0, Graduate, Yes,3052941,11109737,12,425,2654568,38443,5250772,14191935, Rejected
188,2, Graduate, No,5709773,11048059,8,644,18262014,8597612,16015745,6734106, Approved
189,1, Graduate, Yes,2616499,9123948,6,399,28241813,10969586,2160872,6687502, Rejected
190,1, Graduate, No,5171165,13146612,6,442,636867,14908823,11276225,10711390, Rejected
191,4, Not Graduate, No,4366903,8882283,18,676,911289,3834093,11382937,5590879, Approved
192,3, Graduate, Yes,5840544,17830614,8,499,22623356,1625260,10206343,7959619, Rejected
193,3, Graduate, Yes,7967012,26428927,16,708,20996394,11586660,18354293,13881001, Approved
194,2, Not Graduate, Yes,1705274,3998203,8,898,21255062,17505417,5372347,714441, Approved
195,5, Graduate, Yes,7922767,17123835,12,352,4935147,4639515,9019592,10821779, Rejected
196,0, Not Graduate, Yes,2356964,6240629,14,684,25084303,1663497,2133640,5833354, Approved
197,2, Graduate, Yes,523749,1399731,10,792,18046717,7812737,357482,8053310, Approved
198,0, Not Graduate, Yes,4530286,9792364,16,384,4489440,10878256,12135001,13379097, Rejected
199,2, Graduate, Yes,3132185,10099796,20,769,3264697,12098425,10027979,8830239, Approved
200,5, Graduate, Yes,1989922,4137264,18,604,17435229,2188338,5116449,6158774, Approved
201,2, Not Graduate, No,4301654,9676978,20,677,22569742,12737508,14751914,14300314, Approved
202,5, Not Graduate, Yes,8627913,23614755,2,330,22627902,6658540,22642509,8897823, Rejected
203,2, Graduate, No,5880145,23273122,16,561,16997141,593556,8029245,2247652, Rejected
204,4, Not Graduate, Yes,7260015,11864284,16,520,14908289,17891462,9196755,1306715, Rejected
205,2, Graduate, Yes,1650411,2545344,10,392,20136572,10380446,4126040,5102744, Approved
206,1, Graduate, Yes,935539,1277982,8,757,3706405,5921189,2364514,10555632, Approved
207,4, Graduate, No,3452245,10378213,2,603,10518468,15842848,7151108,6188940, Rejected
208,5, Not Graduate, Yes,7711896,17252304,18,826,2778735,15462488,16045889,2479181, Approved
209,1, Graduate, No,8790291,17963313,18,395,24310963,4004607,15382343,14475080, Rejected
210,4, Not Graduate, Yes,1186941,1724731,2,738,17531614,18636247,1839477,2910638, Approved
211,1, Graduate, No,4822510,17610083,12,662,22517365,10320579,11584428,1237653, Rejected
212,4, Not Graduate, Yes,4046125,8974927,12,690,14380381,5089061,11096707,5604261, Approved
213,4, Not Graduate, Yes,7418189,20360099,4,485,26959358,8683724,21811086,1641271, Rejected
214,2, Graduate, No,2193387,2544536,12,714,26950199,3641486,3122309,8706927, Approved
215,4, Graduate, Yes,4902351,5615697,18,448,17836461,16488737,15065918,6399944, Approved
216,1, Graduate, Yes,8443182,8574342,8,757,24164766,5213109,11889913,13619697, Approved
217,0, Not Graduate, No,4710330,9305292,16,564,19093502,8512003,6663396,2487881, Approved
218,0, Graduate, Yes,7778397,17993276,20,587,20961101,1327482,22697416,3951428, Approved
219,2, Graduate, Yes,6232677,9864146,10,648,7092899,18310505,21241750,10067003, Approved
220,5, Graduate, Yes,5994790,11503810,4,350,28487745,5876303,19762886,10259508, Rejected
221,0, Not Graduate, Yes,2715835,2227071,6,520,5264540,12657111,2262936,5301959, Approved
222,2, Graduate, No,9827133,18902324,4,421,20113170,6848978,13418260,13550422, Rejected
223,4, Graduate, No,2623080,3098771,8,878,17558476,10890834,7291348,12439249, Approved
224,1, Not Graduate, No,9230607,11176698,14,553,2587755,10869958,26941656,8992632, Rejected
225,4, Graduate, Yes,9796732,7978649,6,303,22441937,5663239,19718858,11004575, Approved
226,1, Not Graduate, No,5160454,15628010,12,315,2157082,8383614,2829519,7876028, Rejected
227,4, Graduate, No,8629222,32619391,20,847,14728837,11572596,17306273,6920859, Approved
228,3, Graduate, Yes,7136374,19902960,6,394,23641793,4215766,4235015,8020802, Rejected
229,3, Not Graduate, No,7356222,8149565,18,300,3543098,2546180,9888133,12421197, Rejected
230,1, Not Graduate, No,864548,3429556,8,427,10396474,3457245,2135935,239273, Rejected
231,2, Not Graduate, No,1530302,6001649,14,430,14692030,8075135,1383097,1482037, Rejected
232,5, Graduate, Yes,875300,2011746,4,347,26796658,4151174,2308576,6977484, Approved
233,0, Graduate, Yes,493179,564779,6,897,11015270,5517902,1165953,8542155, Approved
234,4, Graduate, No,8308978,25810725,18,335,3341000,13305025,14865448,2640132, Rejected
235,2, Graduate, No,1901501,7371545,12,736,3724436,13003364,3073710,8895454, Approved
236,4, Graduate, Yes,261452,860657,12,802,5684702,18305133,848150,359752, Approved
237,3, Graduate, Yes,9295990,26005059,12,686,25119210,14821522,20074801,3616510, Rejected
238,2, Graduate, No,2903941,7999376,6,379,22399174,8233920,9195905,6760321, Rejected
239,1, Graduate, Yes,8118010,31898404,20,735,12057617,18015399,14103636,729433, Approved
240,3, Graduate, Yes,9517074,9840482,8,497,24561506,17865298,21736240,9314462, Approved
241,0, Graduate, No,5273837,6743018,2,544,26625509,4308754,17740270,7867424, Approved
242,3, Not Graduate, Yes,9189186,31781687,20,450,25135413,3327019,8015340,8310360, Rejected
243,0, Not Graduate, Yes,9597171,12134296,2,770,32141,17164163,12364438,7551052, Approved
244,3, Graduate, Yes,1599611,3241689,18,647,2784952,17271891,5198866,10163402, Approved
245,3, Not Graduate, No,1621846,2758431,6,392,21011317,16411458,2864201,9608092, Approved
246,0, Not Graduate, Yes,3788405,5981978,2,544,11010446,8930217,4985943,9703032, Rejected
247,4, Graduate, No,5623759,4961900,6,776,4523397,16731172,19638274,3130052, Approved
248,2, Graduate, No,7824559,20437779,14,862,18709842,14918346,6311507,10102472, Approved
249,4, Graduate, No,1977254,4120531,12,863,10244084,14365231,4616154,2640757, Approved
250,0, Graduate, No,2076002,5325129,4,380,26636952,11682574,5946133,314928, Rejected
251,1, Not Graduate, No,3172357,5629113,8,814,16685136,5193796,9073629,14375363, Approved
252,2, Not Graduate, Yes,2832524,10799492,6,639,6855337,14495950,5170846,2626895, Rejected
253,1, Graduate, No,9319309,25090478,14,743,27096419,17030720,5888713,1671220, Approved
254,1, Not Graduate, No,4041109,15662783,18,531,17369977,17157166,12216600,4456150, Rejected
255,3, Graduate, No,8622301,16554982,6,690,8522282,11631240,25075482,14691306, Approved
256,0, Not Graduate, Yes,742059,599083,18,454,4076411,763925,899481,12704096, Approved
257,4, Not Graduate, Yes,1187448,3918637,10,612,16050820,14367867,1806799,10583658, Approved
258,0, Graduate, No,7995053,27563843,2,435,21645810,4917695,16292135,2765084, Rejected
259,1, Graduate, Yes,2620574,2588736,8,537,24224838,3981992,2207653,9251036, Approved
260,3, Not Graduate, No,1001435,2805201,18,544,3610961,1524519,2965943,12242697, Approved
261,4, Not Graduate, Yes,5966722,17394529,18,819,12474536,3053764,19489103,4994817, Approved
262,1, Graduate, No,1628652,2062440,16,676,28999490,9507362,2320149,3810311, Approved
263,1, Graduate, No,795122,2041935,8,688,19131233,5370921,2601709,12756705, Approved
264,5, Graduate, Yes,4139329,6532839,16,470,2584966,7406317,12014851,1932734, Rejected
265,5, Not Graduate, Yes,5535821,4720092,16,560,26586891,9920593,14855244,13377905, Approved
266,3, Not Graduate, No,5315388,18997810,16,583,19843311,10225395,18111978,7041996, Rejected
267,2, Not Graduate, Yes,5869566,13930972,12,770,13290051,8082526,8651449,10611694, Approved
268,2, Not Graduate, Yes,429170,1416877,12,411,22511830,8786688,1393484,5468453, Approved
269,3, Not Graduate, No,3022381,9409450,20,332,18768526,17219595,2403429,10435362, Rejected
270,3, Not Graduate, Yes,3531591,14055226,20,603,7407502,5491831,6830246,13596442, Rejected
271,1, Graduate, No,3043292,6699657,12,787,23076702,252558,6561440,7249373, Approved
272,0, Not Graduate, Yes,5622769,12191073,6,740,7315514,15523982,4882991,3118922, Approved
273,0, Graduate, Yes,2422068,4121434,10,786,6561320,1552938,6568798,1144172, Approved
274,5, Graduate, No,6330334,17727917,12,536,17247879,15024843,12189291,13607654, Rejected
275,2, Not Graduate, Yes,9276060,21850315,14,437,443150,6312951,17314891,14685726, Rejected
276,2, Not Graduate, Yes,6609301,20700565,8,695,18246810,16323403,14833379,9571355, Rejected
277,2, Not Graduate, No,3972050,7709103,2,322,15921792,3254005,3591269,228664, Rejected
278,4, Graduate, No,4416779,5382742,18,837,20867305,3191276,4858790,13008280, Approved
279,0, Graduate, No,5877109,20921294,20,728,4535578,7890961,6124260,7282341, Rejected
280,0, Graduate, No,7222498,24915814,2,602,16786555,8127711,24237242,3436797, Approved
281,1, Graduate, Yes,3125273,6010526,8,419,12751437,13921306,8811924,5396874, Approved
282,2, Graduate, Yes,572612,1723061,10,450,4976983,12560525,1195379,13845188, Approved
283,4, Graduate, No,7015840,16667456,16,897,13050691,19272306,17387815,11409145, Approved
284,2, Graduate, No,6616950,21406565,16,308,26792575,13138350,16211092,8775536, Rejected
285,2, Not Graduate, No,1183980,2425292,8,305,23886532,3920250,1523823,10815971, Approved
286,5, Graduate, Yes,6277597,15782164,8,508,4748396,1718260,4769865,12460998, Rejected
287,0, Graduate, Yes,894922,881508,10,437,24539943,5159907,1937341,9232330, Approved
288,3, Not Graduate, Yes,6438027,8753862,6,706,16348440,19080191,8299437,4612771, Approved
289,3, Graduate, No,7419552,24496763,10,325,1272783,14913529,23152080,1098656, Rejected
290,2, Not Graduate, No,350539,708442,6,771,26672082,14375926,423506,1810435, Approved
291,4, Not Graduate, Yes,7248679,6613240,2,769,15204348,5277764,16081806,3481686, Approved
292,1, Graduate, Yes,1368338,1828696,16,437,26467415,9094205,2408656,11298292, Approved
293,5, Not Graduate, Yes,2770512,5865488,16,647,2762993,13652749,7559919,1384128, Rejected
294,1, Not Graduate, Yes,7036982,21795798,6,703,4786078,18371604,23589643,1868102, Approved
295,3, Not Graduate, No,3643953,7153634,10,809,26145219,11319687,6321213,14390952, Approved
296,3, Not Graduate, No,9677251,30818119,10,739,6843338,413284,6126315,5885834, Rejected
297,5, Not Graduate, Yes,9485426,33633365,2,877,15886199,16584945,23564588,1878408, Approved
298,2, Not Graduate, No,9773003,18486975,12,369,17413851,18115331,8674073,12825433, Rejected
299,1, Graduate, No,1212003,4073786,10,666,27495320,646733,985969,14217733, Approved
300,0, Not Graduate, Yes,1909991,2303483,20,763,9711482,7609464,4745705,7410773, Approved
301,2, Not Graduate, Yes,1976526,4207840,8,439,21834457,19007091,1597896,1656868, Approved
302,4, Not Graduate, Yes,5877885,6537381,16,431,21168702,18499716,5209754,9225473, Approved
303,0, Not Graduate, Yes,4371372,4231879,8,355,20296442,18706462,7943841,12674786, Approved
304,5, Graduate, No,7434811,7483045,4,891,15101965,18925612,13806282,14192198, Approved
305,3, Not Graduate, No,2936359,3333373,8,819,1969085,434323,9517159,8447063, Approved
306,0, Not Graduate, Yes,2137628,7426810,18,372,7643220,2930072,2839630,13880241, Rejected
307,1, Graduate, Yes,6495382,16496755,6,447,16223782,9690482,11060371,12226367, Rejected
308,3, Graduate, No,6187447,23708083,18,574,11861203,11703612,16226970,2372059, Rejected
